#P (bar)        	T (K)           	n_<tot> (cm-3)  	n_g (cm-3)      	m (g/mol)       	H2O1            	C1O2            	C1O1            	C1H4            	H3N1            	H2              	He              	N2              
1.0000000000e-10	5.0364387643e+02	2.6735278300e+09	1.4381134875e+09	2.9777951528e+01	1.6418891504e-19	2.3567314542e-14	3.8333131142e-01	6.8938049853e-03	4.7292052076e-17	3.3881910046e-04	1.8850734539e-02	7.2398451404e-02
1.2388629240e-10	5.0364387661e+02	3.3126803211e+09	1.7816254796e+09	2.9782857641e+01	1.6306674069e-19	2.7155520306e-14	3.8342531410e-01	6.8285810127e-03	4.6904940779e-17	2.9211099110e-04	1.8853838358e-02	7.2410841594e-02
1.5347813444e-10	5.0364387683e+02	4.1046172621e+09	2.2071897501e+09	2.9787651958e+01	1.6178762038e-19	3.1281475951e-14	3.8352303316e-01	6.7560384045e-03	4.6469758631e-17	2.5165719671e-04	1.8856876069e-02	7.2422976297e-02
1.9013837041e-10	5.0364387711e+02	5.0858673650e+09	2.7344055461e+09	2.9792391162e+01	1.6034832891e-19	3.6023982079e-14	3.8362528149e-01	6.6761568817e-03	4.5985958105e-17	2.1664057024e-04	1.8859874157e-02	7.2434956081e-02
2.3555537753e-10	5.0364387746e+02	6.3016782693e+09	3.3875536479e+09	2.9797053611e+01	1.5875757190e-19	4.1474012513e-14	3.8373171744e-01	6.5893403598e-03	4.5456191582e-17	1.8635709760e-04	1.8862828187e-02	7.2446743424e-02
2.9182082376e-10	5.0364387789e+02	7.8081314232e+09	4.1967146138e+09	2.9801693079e+01	1.5701153650e-19	4.7734565737e-14	3.8384313081e-01	6.4955539111e-03	4.4879778761e-17	1.6018144385e-04	1.8865763069e-02	7.2458424764e-02
3.6152599901e-10	5.0364387842e+02	9.6746957471e+09	5.1991541322e+09	2.9806288619e+01	1.5511919091e-19	5.4924545981e-14	3.8395917689e-01	6.3952160144e-03	4.4259460536e-17	1.3757640168e-04	1.8868674599e-02	7.2469952771e-02
4.4788115623e-10	5.0364387907e+02	1.1987474280e+10	6.4410392821e+09	2.9810894122e+01	1.5307855359e-19	6.3178610780e-14	3.8408060950e-01	6.2883666329e-03	4.3595080583e-17	1.1806644691e-04	1.8871587955e-02	7.2481400262e-02
5.5486335881e-10	5.0364387989e+02	1.4853126911e+10	7.9795647457e+09	2.9815491201e+01	1.5090079592e-19	7.2652294266e-14	3.8420706788e-01	6.1755089931e-03	4.2889987517e-17	1.0124355216e-04	1.8874500395e-02	7.2492705623e-02
6.8739964312e-10	5.0364388090e+02	1.8403855048e+10	9.8855868932e+09	2.9820135239e+01	1.4858694720e-19	8.3521823742e-14	3.8433926792e-01	6.0567993722e-03	4.2144857662e-17	8.6747160633e-05	1.8877438193e-02	7.2503918346e-02
8.5159393183e-10	5.0364388215e+02	2.2803427529e+10	1.2246887054e+10	2.9824810841e+01	1.4615086844e-19	9.5990880626e-14	3.8447683019e-01	5.9328412929e-03	4.1363765280e-17	7.4267944806e-05	1.8880400354e-02	7.2514945835e-02
1.0550081484e-09	5.0364388369e+02	2.8254816633e+10	1.5172214258e+10	2.9829558384e+01	1.4359917219e-19	1.1029105561e-13	3.8462017738e-01	5.8039921874e-03	4.0548877448e-17	6.3533605601e-05	1.8883407882e-02	7.2525761627e-02
1.3070104796e-09	5.0364388561e+02	3.5009546076e+10	1.8796293648e+10	2.9834416081e+01	1.4094049481e-19	1.2668750680e-13	3.8476965142e-01	5.6706834781e-03	3.9702901204e-17	5.4307847873e-05	1.8886481318e-02	7.2536295227e-02
1.6192068245e-09	5.0364388799e+02	4.3379240406e+10	2.3286031199e+10	2.9839378227e+01	1.3819191547e-19	1.4548637375e-13	3.8492485670e-01	5.5336341482e-03	3.8830745274e-17	4.6386973186e-05	1.8889624793e-02	7.2546346569e-02
2.0059753011e-09	5.0364389093e+02	5.3750169585e+10	2.8848200531e+10	2.9844506360e+01	1.3536254538e-19	1.6703591879e-13	3.8508626861e-01	5.3932947412e-03	3.7935226266e-17	3.9591906199e-05	1.8892869695e-02	7.2555755783e-02
2.4851284270e-09	5.0364389458e+02	6.6600921941e+10	3.5738965803e+10	2.9849809817e+01	1.3247244996e-19	1.9174001490e-13	3.8525330545e-01	5.2504826989e-03	3.7021994735e-17	3.3769053827e-05	1.8896229387e-02	7.2564175325e-02
3.0787334695e-09	5.0364389909e+02	8.2524799313e+10	4.4275679278e+10	2.9855375896e+01	1.2953511956e-19	2.2005990567e-13	3.8542599370e-01	5.1057949438e-03	3.6094979575e-17	2.8783743704e-05	1.8899751927e-02	7.2571258818e-02
3.8141287483e-09	5.0364390469e+02	1.0225715300e+11	5.4851496883e+10	2.9861285902e+01	1.2657326742e-19	2.5253128442e-13	3.8560305656e-01	4.9601349324e-03	3.5160501175e-17	2.4520363055e-05	1.8903492383e-02	7.2576483340e-02
4.7251826936e-09	5.0364391162e+02	1.2670981143e+11	6.7953484879e+10	2.9867703200e+01	1.2361290142e-19	2.8977452020e-13	3.8578175553e-01	4.8145199459e-03	3.4225792002e-17	2.0878767494e-05	1.8907557761e-02	7.2579264956e-02
5.8538536482e-09	5.0364392021e+02	1.5701451477e+11	8.4185051537e+10	2.9875015129e+01	1.2067841263e-19	3.3250296669e-13	3.8595662168e-01	4.6699448029e-03	3.3297929571e-17	1.7771826256e-05	1.8912186388e-02	7.2579182994e-02
7.2521222472e-09	5.0364393084e+02	1.9457777274e+11	1.0429373690e+11	2.9883971638e+01	1.1780493163e-19	3.8154244189e-13	3.8611383132e-01	4.5278366896e-03	3.2387443995e-17	1.5125000132e-05	1.8917856520e-02	7.2576276968e-02
8.9843853723e-09	5.0364394402e+02	2.4115416878e+11	1.2920564047e+11	2.9896241637e+01	1.1502912281e-19	4.3782133502e-13	3.8622269591e-01	4.3898791344e-03	3.1506961762e-17	1.2873836279e-05	1.8925621346e-02	7.2572212312e-02
1.1130421933e-08	5.0364396035e+02	2.9894739231e+11	1.6006807236e+11	2.9915299875e+01	1.1239745899e-19	5.0234136912e-13	3.8621575375e-01	4.2585134850e-03	3.0675249978e-17	1.0963436445e-05	1.8937687515e-02	7.2572350636e-02
1.3789067061e-08	5.0364398058e+02	3.7075862918e+11	1.9830239220e+11	2.9947916146e+01	1.0995194305e-19	5.7605387909e-13	3.8596283234e-01	4.1368092817e-03	2.9916287639e-17	9.3463984840e-06	1.8958333634e-02	7.2589115259e-02
