#grid point     c_iterations    c_convergence           elem_conserved          P (bar)                 T (K)                   n_<tot> (cm-3)          n_g (cm-3)              m (g/mol)               e-      Al      Ar      C       Ca      Cl      Co      Cr      Cu      F       Fe      Ge      H       He      K       Mg      Mn      N       Na      Ne      Ni      O       P       S       Si      Ti      V       Zn      
0               6               ok                      ok                      1.0000000000e-10        5.0364387643e+02        2.6675419473e+09        1.4381134875e+09        2.3266110155e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
1               6               ok                      ok                      1.2388629240e-10        5.0364387661e+02        3.3047188774e+09        1.7816254796e+09        2.3266110591e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
2               6               ok                      ok                      1.5347813444e-10        5.0364387683e+02        4.0940937579e+09        2.2071897501e+09        2.3266110978e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
3               6               ok                      ok                      1.9013837041e-10        5.0364387711e+02        5.0720210566e+09        2.7344055461e+09        2.3266111416e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
4               6               ok                      ok                      2.3555537753e-10        5.0364387746e+02        6.2835390292e+09        3.3875536479e+09        2.3266112145e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
5               6               ok                      ok                      2.9182082376e-10        5.0364387789e+02        7.7844440822e+09        4.1967146138e+09        2.3266113801e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
6               6               ok                      ok                      3.6152599901e-10        5.0364387842e+02        9.6438609355e+09        5.1991541322e+09        2.3266118116e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
7               6               ok                      ok                      4.4788115623e-10        5.0364387907e+02        1.1947427665e+10        6.4410392821e+09        2.3266129664e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
8               7               ok                      ok                      5.5486335881e-10        5.0364387989e+02        1.4801243697e+10        7.9795647457e+09        2.3266158825e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
9               8               ok                      ok                      6.8739964312e-10        5.0364388090e+02        1.8336761197e+10        9.8855868932e+09        2.3266221218e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
10              8               ok                      ok                      8.5159393183e-10        5.0364388215e+02        2.2716827592e+10        1.2246887054e+10        2.3266317543e+00        ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      ok      
