# Order  W_Mean  W_min  W_max
79  974.9507479075488  965.0104614786763  984.3252992562694
78  986.1652491226728  975.79174661188  995.9845844347915
77  999.4464445388572  988.2566512620169  1009.9792506720496
76  1012.4908532819778  1000.9818445306864  1023.3348582195947
75  1025.9589823829863  1014.1535983548532  1037.0943490257948
74  1039.8080855257426  1027.6627497486031  1051.2242584195958
73  1054.0283791332824  1041.497312475127  1065.8046027209068
72  1068.0577831175267  1055.7232387749036  1079.6888507119286
71  1082.8131559407232  1069.6338200763573  1095.1762429377948
70  1098.4744888479042  1085.57961733263  1110.6462331760067
69  1113.7807240249876  1101.0859990042718  1127.3556144533125
68  1130.7874518556494  1116.2233775885934  1143.6057627040764
67  1148.1862132505519  1132.7315720370573  1161.4817707989896
66  1165.283684975747  1149.990217819015  1178.962526012185
65  1183.4864298589537  1167.464448958374  1198.4276218960429
64  1202.0007990401823  1185.6436010417967  1217.2254453871162
63  1221.147391450816  1204.1748874736531  1236.9541731039462
62  1241.216390004448  1224.035572140406  1257.200890660852
61  1261.18585927414  1243.2561925637506  1277.8503137048813
60  1282.434075475958  1264.482422560775  1299.1354712775412
59  1303.3859574030487  1284.5349020822393  1321.0450561698594
58  1325.5829086761757  1306.506123836988  1343.7629198291118
57  1341.0220817445718  1329.1792736018883  1363.310407736617
56  1381.0738425745549  1353.8351593887078  1391.601967960451
55  1402.6596273048488  1377.4070570928197  1417.4372450558087
54  1426.8160283723093  1403.3672890777923  1443.7144540696065
53  1451.5555130978091  1428.024016583021  1470.9833536466558
52  1479.26216305695  1456.3935899670357  1499.2994337969749
51  1506.8974918585106  1482.6118687154485  1528.725606479732
50  1536.6159824662334  1511.9848603744801  1559.3279866258893
49  1567.8514877788562  1542.5422443894417  1591.1793405480807
48  1600.7267589915286  1575.1093445586764  1624.356725499706
47  1634.623430139451  1608.253372637294  1658.9456740052274
46  1670.1947266238667  1643.2510831059285  1695.03761613095
45  1707.2993494337823  1679.8039503959726  1732.7334495735665
44  1746.0294523442967  1718.0176234628766  1772.142296924151
43  1784.4881118871383  1758.0083052906848  1813.3832969000969
42  1815.8344912089362  1799.9033913518551  1851.7819018897426
41  1879.6996371400844  1844.3677447346208  1897.1173296691552
40  1930.3911806685796  1894.4576626372575  1949.3844807513592
39  1972.934233950832  1938.4764480467547  1999.4891565251116
38  2023.8981128946768  1989.5294029569113  2052.136405867276
37  2077.507657582323  2043.3422980793341  2107.6288286726035
36  2134.5126759711725  2100.144835944099  2166.2031146855024
35  2195.5282131172967  2160.173860086615  2228.1233417308863
34  2260.1364071952776  2223.7522243129447  2293.6837816156253
33  2328.608659791629  2291.1833191725464  2363.217258070139
32  2400.660727169057  2362.8297424415714  2437.067044934108
31  2467.951797882977  2439.102798067158  2498.1091276280836
